"timestamp (abs)","sample rate (Hz)","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
665,10000,0,0,0,0,0
671,10000,0,0,0,0,1
678,10000,0,0,0,0,0
685,10000,0,0,0,0,1
692,10000,0,0,0,0,0
699,10000,0,0,0,0,1
707,10000,0,0,0,0,0
714,10000,0,0,0,0,1
722,10000,0,0,0,0,0
730,10000,0,0,0,0,1
737,10000,0,0,0,0,0
745,10000,0,0,0,0,1
752,10000,0,0,0,0,0
760,10000,0,0,0,0,1
768,10000,0,0,0,0,0
775,10000,0,0,0,0,1
783,10000,0,0,0,0,0
790,10000,0,0,0,0,1
798,10000,0,0,0,0,0
805,10000,0,0,0,0,1
813,10000,0,0,0,0,0
820,10000,0,0,0,0,1
827,10000,0,0,0,0,0
834,10000,0,0,0,0,1
840,10000,0,0,0,0,0
846,10000,0,0,0,0,1
853,10000,0,0,0,0,0
860,10000,0,0,0,0,1
867,10000,0,0,0,0,0
875,10000,0,0,0,0,1
883,10000,0,0,0,0,0
890,10000,0,0,0,0,1
897,10000,0,0,0,0,0
904,10000,0,0,0,0,1
911,10000,0,0,0,0,0
919,10000,0,0,0,0,1
927,10000,0,0,0,0,0
934,10000,0,0,0,0,1
941,10000,0,0,0,0,0
948,10000,0,0,0,0,1
956,10000,0,0,0,0,0
963,10000,0,0,0,0,1
971,10000,0,0,0,0,0
978,10000,0,0,0,0,1
985,10000,0,0,0,0,0
992,10000,0,0,0,0,1
999,10000,0,0,0,0,0
1006,10000,0,0,0,0,1
1012,10000,0,0,0,0,0
1018,10000,0,0,0,0,1
1024,10000,0,0,0,0,0
1031,10000,0,0,0,0,1
1039,10000,0,0,0,0,0
1046,10000,0,0,0,0,1
1054,10000,0,0,0,0,0
1062,10000,0,0,0,0,1
1069,10000,0,0,0,0,0
1077,10000,0,0,0,0,1
1084,10000,0,0,0,0,0
1092,10000,0,0,0,0,1
1099,10000,0,0,0,0,0
1106,10000,0,0,0,0,1
1114,10000,0,0,0,0,0
1121,10000,0,0,0,0,1
1129,10000,0,0,0,0,0
1137,10000,0,0,0,0,1
1145,10000,0,0,0,0,0
1153,10000,0,0,0,0,1
1160,10000,0,0,0,0,0
1168,10000,0,0,0,0,1
1175,10000,0,0,0,0,0
1181,10000,0,0,0,0,1
1187,10000,0,0,0,0,0
1194,10000,0,0,0,0,1
1202,10000,0,0,0,0,0
1209,10000,0,0,0,0,1
1217,10000,0,0,0,0,0
1225,10000,0,0,0,0,1
1232,10000,0,0,0,0,0
1240,10000,0,0,0,0,1
1247,10000,0,0,0,0,0
1255,10000,0,0,0,0,1
1262,10000,0,0,0,0,0
1268,10000,0,0,0,0,1
1275,10000,0,0,0,0,0
1283,10000,0,0,0,0,1
1290,10000,0,0,0,0,0
1298,10000,0,0,0,0,1
